model_id,model_family,shap_available,mean_abs_shap_file,summary_plot_file,status,message,model_artifact_available
T001,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
T002,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
T003,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
T004,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
T005,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
T006,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
T007,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
RF001,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
RF002,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
RF003,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
RF004,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
RF005,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
ET001,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
ET002,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
ET003,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
ET004,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
ET005,tree,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
GB001,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
GB002,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
GB003,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
GB004,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
XGB001,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
XGB002,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
XGB003,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
XGB004,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
LGB001,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
LGB002,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
LGB003,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
LGB004,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
CAT001,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
CAT002,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
CAT003,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
CAT004,boosting,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
EASTACK001,ensemble,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
WASTACK001,ensemble,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
WASTACK002,ensemble,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
WASTACK003,ensemble,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
WASTACK004,ensemble,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
RASTACK001,ensemble,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
LRSTACK001,ensemble,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
RIDGESTACK001,ensemble,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
LASSOSTACK001,ensemble,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
RFSTACK001,ensemble,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NNSTACK001,ensemble,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
XGBSTACK001,ensemble,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
